Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
173,Exit long,12/15/2020 10:45,EXIT_LONG,82.0400,139.8928,11476.8082,148.29,0.15,254.60,0.25,-82.54,-0.08,13433.50,13.43
173,Entry long,12/15/2020 05:45,BUY,80.9800,139.8928,11328.5218,148.29,0.15,254.60,0.25,-82.54,-0.08,13433.50,13.43
174,Exit long,12/16/2020 02:15,EXIT_LONG,80.5900,141.1918,11378.6484,35.30,0.04,43.77,0.04,-286.62,-0.29,13468.80,13.47
174,Entry long,12/16/2020 00:15,BUY,80.3400,141.1918,11343.3504,35.30,0.04,43.77,0.04,-286.62,-0.29,13468.80,13.47
175,Exit long,12/16/2020 02:15,EXIT_LONG,80.5900,142.4376,11479.0482,146.71,0.15,155.26,0.16,-178.05,-0.18,13615.51,13.62
175,Entry long,12/16/2020 00:30,BUY,79.5600,142.4376,11332.3374,146.71,0.15,155.26,0.16,-178.05,-0.18,13615.51,13.62
176,Exit long,12/16/2020 02:15,EXIT_LONG,80.5900,141.9984,11443.6525,102.24,0.10,110.76,0.11,-221.52,-0.22,13717.75,13.72
176,Entry long,12/16/2020 00:45,BUY,79.8700,141.9984,11341.4136,102.24,0.10,110.76,0.11,-221.52,-0.22,13717.75,13.72
177,Exit long,12/18/2020 17:30,EXIT_LONG,106.0200,109.4071,11599.3420,227.57,0.23,342.44,0.34,-141.14,-0.14,13945.32,13.95
177,Entry long,12/18/2020 14:15,BUY,103.9400,109.4071,11371.7752,227.57,0.23,342.44,0.34,-141.14,-0.14,13945.32,13.95
178,Exit long,12/18/2020 17:30,EXIT_LONG,106.0200,109.0902,11565.7465,190.91,0.19,305.45,0.31,-117.82,-0.12,14136.23,14.14
